Name,Primary Category,Other Categories,Flags,Tags,Bulk,Grocery,manufacturer,Primary supplier,Cost,Price,Inventory
"Thomas Fawcett - Maris Otter, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Thomas Fawcett,Brewcraft,45.65,79.95,
Thomas Fawcett - Golden Promise,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Thomas Fawcett,Brewcraft,0.94,2.49,
"Thomas Fawcett - Golden Promise, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Thomas Fawcett,Brewcraft,45.65,79.95,
Chateau - Pilsen,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Chateau,BSG,0.72,1.99,
"Chateau - Pilsen, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Chateau,BSG,39.60,,
Chateau - Pale Ale,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Chateau,BSG,0.72,1.99,
"Chateau - Pale Ale, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Chateau,BSG,39.60,,
Weyermann - Pilsner,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.71,1.99,
"Weyermann - Pilsner, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Weyermann,BSG,39.05,,
Weyermann - Pale Wheat Malt,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.75,1.99,
"Weyermann - Pale Wheat Malt, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Weyermann,BSG,41.25,,
Weyermann - Vienna,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.74,1.99,
"Weyermann - Vienna, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Weyermann,BSG,40.70,,
Weyermann - Munich Type 1,Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Weyermann,BSG,0.74,1.99,
"Weyermann - Munich Type 1, 55 lb",Ingredients,[Malts and Adjuncts? Malts? Base Malts],"Hidden, Special Order Only",Sack,FALSE,TRUE,Weyermann,BSG,40.70,,
Weyermann - Munich Type 2,Ingredients,[Malts and Adjuncts? Malts? Base Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.88,2.19,
Briess - Carapils,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.11,2.49,
Briess - Caramel 10L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Caramel 20L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Organic Caramel 20L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,Organic,TRUE,TRUE,Briess,Brewcraft,1.01,2.99,
Briess - Caramel 30L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Caramel 40L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Caramel 60L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Organic Caramel 60L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,Organic,TRUE,TRUE,Briess,Brewcraft,1.01,2.99,
Briess - Caramel Munich 60L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Caramel 80L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.99,
Briess - Caramel 90L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Caramel 120L,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Victory,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,0.98,2.49,
Briess - Special Roast,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.10,2.49,
Briess - Chocolate,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.15,2.49,
Briess - Organic Chocolate,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,Organic,TRUE,TRUE,Briess,Brewcraft,1.05,2.99,
Briess - Dark Chocolate,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.84,2.49,
Briess - Black,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,1.07,2.49,
Briess - Organic Black,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,Organic,TRUE,TRUE,Briess,Brewcraft,,2.99,
Briess - Blackprinz,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.91,2.49,
Briess - Midnight Wheat,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.88,2.49,
Briess - Roasted Barley,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.06,2.49,
Briess - Cherrywood Smoked,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,1.75,2.99,
Thomas Fawcett - Brown Malt,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Thomas Fawcett,Brewcraft,0.92,2.39,
Thomas Fawcett - Amber Malt,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Thomas Fawcett,Brewcraft,0.92,2.39,
Thomas Fawcett - Oat Malt,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Thomas Fawcett,Brewcraft,0.83,2.39,
Thomas Fawcett - Pale Chocolate,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Thomas Fawcett,Brewcraft,0.84,2.39,
Simpsons - Golden Naked Oats,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Simpsons,BSG,0.80,2.49,
Simpsons - Extra Dark Crystal,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Simpsons,BSG,0.62,2.49,
Chateau - Monastique,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Chateau,BSG,0.56,1.99,
Chateau - Special B,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Chateau,BSG,0.63,2.49,
Weyermann - Melanoidin,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.57,2.29,
Weyermann - CaraBelge,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Caramel Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.61,2.29,
Weyermann - Carafa Special 1,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],"Recipe Builder, Hidden",,TRUE,TRUE,Weyermann,BSG,,,
Weyermann - Carafa Special 2,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],"Recipe Builder, Hidden",,TRUE,TRUE,Weyermann,BSG,,,
Weyermann - Carafa Special 3,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],"Recipe Builder, Hidden",,TRUE,TRUE,Weyermann,BSG,,,
Weyermann - Chocolate Wheat,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.63,2.29,
Weyermann - Chocolate Rye,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts? Roasted Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.65,2.29,
Weyermann - Acidulated,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.75,2.49,
Weyermann - Beech Smoked,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Weyermann,BSG,0.67,2.49,
Gambrinus - Honey Malt,Ingredients,[Malts and Adjuncts? Malts? Specialty Malts],Recipe Builder,,TRUE,TRUE,Gambrinus,Brewcraft,0.51,2.49,
Flaked Corn,Ingredients,[Malts and Adjuncts? Adjunct Grains],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.88,2.49,
Flaked Wheat,Ingredients,[Malts and Adjuncts? Adjunct Grains],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,0.60,2.49,
Flaked Oats,Ingredients,[Malts and Adjuncts? Adjunct Grains],"Recipe Builder, Brewing Basics",,TRUE,TRUE,Briess,Brewcraft,0.66,2.49,
Flaked Rye,Ingredients,[Malts and Adjuncts? Adjunct Grains],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.63,2.49,
Flaked Barley,Ingredients,[Malts and Adjuncts? Adjunct Grains],Recipe Builder,,TRUE,TRUE,Briess,Brewcraft,0.63,2.49,
Rice Hulls,Ingredients,[Malts and Adjuncts? Adjunct Grains],Recipe Builder,,TRUE,TRUE,,Brewcraft,0.47,1.99,
"Briess - Pilsen Light, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],Recipe Builder,,FALSE,TRUE,Briess,BSG,5.58,11.99,
"Briess - Golden Light, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],"Recipe Builder, Brewing Basics",,FALSE,TRUE,Briess,BSG,5.58,11.99,
"Briess - Munich, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],Recipe Builder,,FALSE,TRUE,Briess,BSG,5.58,11.99,
"Briess - Rye, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],Recipe Builder,,FALSE,TRUE,Briess,BSG,5.58,11.99,
"Briess - Wheat, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],"Recipe Builder, Brewing Basics",,FALSE,TRUE,Briess,BSG,5.58,11.99,
"Briess - Porter, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],Recipe Builder,,FALSE,TRUE,Briess,Brewcraft,5.35,11.99,
"Muntons - Maris Otter, 3.3 lbs",Ingredients,[Malts and Adjuncts? LME],Recipe Builder,,FALSE,TRUE,Muntons,BSG,7.54,15.99,
Briess - Golden Light 1 lb,Ingredients,[Malts and Adjuncts? DME],"Recipe Builder, Brewing Basics",,FALSE,TRUE,Briess,Brewcraft,1.96,3.99,
Briess - Golden Light 100g,Ingredients,[Malts and Adjuncts? DME],Recipe Builder,,FALSE,TRUE,Briess,,,,
Briess - Bavarian Wheat 1 lb,Ingredients,[Malts and Adjuncts? DME],"Recipe Builder, Brewing Basics",,FALSE,TRUE,Briess,Brewcraft,1.96,3.99,
Dextrose,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,TRUE,TRUE,,Brewcraft,0.53,1.99,
Carbonation Tabs,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,BSG,2.83,4.99,
Lactose,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,TRUE,TRUE,,BSG,2.26,4.99,
Maltodextrin,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,TRUE,TRUE,,Brewcraft,0.7,2.49,
"Rice Syrup Solids, 1 lb",Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,BSG,3.07,5.99,
Belgian Candi Sugar Clear,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,3.86,6.99,1
Belgian Candi Sugar Dark,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,3.86,6.99,5
Belgian Candi Sugar 1L Syrup,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,4.06,6.99,5
Belgian Candi Sugar 5L Syrup,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,4.06,6.99,5
Belgian Candi Sugar D-45 Syrup,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,4.06,6.99,5
Belgian Candi Sugar D-90 Syrup,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,4.06,6.99,5
Belgian Candi Sugar D-180 Syrup,Ingredients,[Malts and Adjuncts? Sugars],Recipe Builder,,FALSE,TRUE,,Brewcraft,4.06,6.99,5
"Ahtanum, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.66,2.19,
"Amarillo, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,1.15,2.69,
"Azacca, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,BSG,1.55,2.99,
"Brewers Gold, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Hidden",,FALSE,TRUE,,Brewcraft,,,
"Bravo, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.45,1.99,
"Cascade, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Brewing Basics",,FALSE,TRUE,,Brewcraft,0.39,1.99,
"Centennial, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Brewing Basics",,FALSE,TRUE,,Brewcraft,0.5,1.99,
"Chinook, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.48,1.99,
"Citra, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Brewing Basics",,FALSE,TRUE,,Brewcraft,1.22,2.89,
"Cluster, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.5,1.99,
"Comet, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.5,1.99,
"Crystal, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.41,1.99,
"CTZ (Columbus), 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Brewing Basics",,FALSE,TRUE,,Brewcraft,0.33,1.99,
"East Kent Golding, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Brewing Basics",,FALSE,TRUE,,Brewcraft,1.01,2.49,
"Ekuanot, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.66,2.49,
"El Dorado, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,BSG,1.35,2.99,
"Falconer’s Flight, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.53,1.99,
"Fuggle, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.81,2.19,
"Galaxy, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Hidden",,FALSE,TRUE,,BSG,1.55,3.49,
"Galena, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.38,1.99,
"Glacier, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.33,2.19,
"Green Bullet, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,BSG,1.35,2.69,
"Hallertau Blanc, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.65,2.99,
"Hallertau Mittelfruh, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.86,2.19,
"Hersbrucker, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.12,2.49,
"Horizon, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.58,2.19,
"Heull Melon, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.65,2.99,
"Liberty, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.95,2.49,
"Loral, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.72,2.49,
"Magnum, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.81,2.19,
"Mandarina Bavaria, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.65,2.99,
"Mosaic, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.84,2.69,
"Motueka, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.65,3.19,
"Mt. Hood, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.80,2.19,
"Nelson Sauvin, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.85,3.29,
"Northern Brewer, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.44,1.99,
"Nugget, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.38,1.99,
"Palisade, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.33,1.99,
"Perle, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.12,2.49,
"Saaz, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],"Recipe Builder, Brewing Basics",,FALSE,TRUE,,Brewcraft,1.06,2.49,
"Simcoe, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.54,2.19,
"Sorachi Ace, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.70,2.49,
"Sterling, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,BSG,1.25,2.49,
"Strisselspalt, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.41,2.19,
"Styrian Golding, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,LD Carlson,1.15,2.19,
"Tettnang, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.55,2.19,
"Warrior, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.44,1.99,
"Wilamette, 1 oz.",Ingredients,[Hops? 1 Oz Pellets],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.84,1.99,
"Amarillo, 1 oz., Whole Leaf",Ingredients,[Hops? 1 Oz Whole Leaf],Recipe Builder,,FALSE,TRUE,,Brewcraft,1.07,2.99,
"Cascade, 1 oz., Whole Leaf",Ingredients,[Hops? 1 Oz Whole Leaf],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.39,2.49,
"Centennial, 1 oz., Whole Leaf",Ingredients,[Hops? 1 Oz Whole Leaf],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.56,2.49,
"Citra, 1 oz., Whole Leaf",Ingredients,[Hops? 1 Oz Whole Leaf],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.83,2.89,
"Mosaic, 1 oz., Whole Leaf",Ingredients,[Hops? 1 Oz Whole Leaf],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.78,2.69,
"Simcoe, 1 oz., Whole Leaf",Ingredients,[Hops? 1 Oz Whole Leaf],Recipe Builder,,FALSE,TRUE,,Brewcraft,0.63,2.69,
"Cascade, Cryo LupuLN2, 1 oz.",Ingredients,[Hops? Cryo LupuLN2 Hops],Recipe Builder,,FALSE,TRUE,,Brewcraft,1.81,3.99,
"Citra, Cryo LupuLN2, 1 oz.",Ingredients,[Hops? Cryo LupuLN2 Hops],Recipe Builder,,FALSE,TRUE,,Brewcraft,2.19,4.49,
"Ekuanot, Cryo LupuLN2, 1 oz.",Ingredients,[Hops? Cryo LupuLN2 Hops],Recipe Builder,,FALSE,TRUE,,Brewcraft,1.97,4.49,
"Loral, Cryo LupuLN2, 1 oz.",Ingredients,[Hops? Cryo LupuLN2 Hops],Recipe Builder,,FALSE,TRUE,,Brewcraft,2.08,4.49,
"Mosaic, Cryo LupuLN2, 1 oz.",Ingredients,[Hops? Cryo LupuLN2 Hops],Recipe Builder,,FALSE,TRUE,,Brewcraft,2.07,4.49,
"Simcoe, Cryo LupuLN2, 1 oz.",Ingredients,[Hops? Cryo LupuLN2 Hops],Recipe Builder,,FALSE,TRUE,,Brewcraft,1.99,3.99,
WLP001 - California Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast","Recipe Builder, Brewing Basics",,FALSE,TRUE,White Labs,White Labs,4.49,7.99,
WLP002 - English Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast",Recipe Builder,,FALSE,TRUE,White Labs,White Labs,4.49,7.99,
WLP004 - Irish Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast",Recipe Builder,,FALSE,TRUE,White Labs,White Labs,4.49,7.99,
WLP005 - British Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast",Recipe Builder,,FALSE,TRUE,White Labs,White Labs,4.49,8.49,
WLP007 - Dry English Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast",Recipe Builder,,FALSE,TRUE,White Labs,White Labs,4.49,8.49,
WLP008 - East Coast Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast","Recipe Builder, Hidden, Special Order Only",,FALSE,TRUE,White Labs,White Labs,,,
WLP009 - Australian Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast","Recipe Builder, Hidden, Special Order Only",,FALSE,TRUE,White Labs,White Labs,,,
WLP011 - European Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast","Recipe Builder, Hidden, Special Order Only",,FALSE,TRUE,White Labs,White Labs,,,
WLP013 - London Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast",Recipe Builder,,FALSE,TRUE,White Labs,White Labs,4.49,7.99,
WLP023 - Burton Ale Yeast,Ingredients,"Yeast, Liquid Yeast, Ale Yeast",Recipe Builder,,FALSE,TRUE,White Labs,White Labs,4.49,8.49,
